name;descriptor;nomenclature;abb;nameTraits;layer;lifeform;lifeformEllenberg;ldmc;height;seedmass;l;f;n;flood;chwet;legal;rlg;rlb;neophyte;continuity;sociality
Hypericum_hirsutum;L.;PL;Hypehirs;Hypericum_hirsutum;herb;perannual;H;275,5;0,63;0,09;7;5;7;no;no;NA;NA;NA;no;3;62120
Hypericum_montanum;L.;PL;Hypemont;Hypericum_montanum;herb;perannual;H;274;0,35;0,06;5;4;3;no;no;NA;NA;NA;no;2;84200
Hypericum_tetrapterum;Fr.;PL;Hypetetr;Hypericum_tetrapterum;herb;perannual;H;198,5;0,43;0,04;7;8;5;yes;no;NA;V;NA;no;2;54120
Impatiens_glandulifera;Royle;PL;Impaglan;Impatiens_glandulifera;herb;annual;T;137;1,5;13,77;5;8;7;yes;no;NA;NA;NA;yes;3;35200
Impatiens_noli-tangere;L.;PL;Impanoli;Impatiens_noli-tangere;herb;annual;T;155;0,4;6,17;4;7;6;no;no;NA;NA;NA;no;1;84330
Knautia_dipsacifolia;Kreutzer;PL;Knaudips;Knautia_dipsacifolia;herb;perannual;H;NA;0,4;5,13;5;6;6;no;no;NA;NA;NA;no;3;61110
Lamium_maculatum;(L.) L.;PL;Lamimacu;Lamium_maculatum;herb;perannual;H;206;0,38;1,8;5;6;8;no;no;NA;NA;NA;no;4;35210
Lathyrus_pratensis;L.;PL;Lathprat;Lathyrus_pratensis;herb;perannual;Hli;276;0,65;13,27;7;6;6;no;no;NA;NA;NA;no;5;54000
Leucanthemum_vulgare;(Vaill.) Lam.;PL;Leucvulg;Leucanthemum_vulgare;herb;perannual;H;124;0,36;0,41;7;4;3;no;no;NA;NA;NA;no;1;54200
Ligustrum_vulgare;L.;PL;Liguvulg;Ligustrum_vulgare;herb;wood;N;273;3;15,63;7;4;3;no;no;NA;NA;NA;no;4;84400
