name;abb;IN1;IN2;IN3;IN4;IN5;IN6;AC1;AC2;AC3;AC4;AC5;AC6;Extra1;Extra2;Extra3;Extra4
Carex_alba;Carealba;0;0,5;37,5;0;2;0;18,75;8,75;0,5;0;0;0;0;0;0;2
Carex_brizoides;Carebriz;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,5
Carex_digitata;Caredigi;0;0;0;0;0;0;0;0;0,5;0;0;0;0;0;0;0,5
Carex_flacca;Careflac;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,5
Carex_ornithopoda_sstr;Careorni;0;0;0;0;0,5;0;0,5;0;0;0,5;0;0;0;0;0;0
Carex_paniculata;Carepani;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,5
Carex_pendula;Carepend;0;0;0;0;2;0,5;2;0;0;0;0;0;0;0;0;0
Carex_sylvatica;Caresylv;0;0;0;0,5;0;0;0;0;0;0,5;0;0;0;0,5;0;0
Chaerophyllum_hirsutum_sstr;Chaehirs;0;0;0;0;0;0;0;0;0;0;0,5;0;0;0,5;0;0
Cicuta_virosa;Cicuviro;0,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cirsium_arvense;Cirsarve;0;0,5;0;0;0;0;0;0;0;0;0;0;0,5;0,5;0;0,5
Cirsium_oleraceum;Cirsoler;8,75;8,75;8,75;2;0;2;0;0;0;0;0;0;0,5;0;0,5;0,5
Clematis_vitalba;Clemvita;0;0;0,5;0;0,5;0;0;0;0;0;0;0;0;0;0;0
Convallaria_majalis;Convmaja;0;0;0;0;0;0;0;0;0,5;0;0;0;0;0;0;0
Cornus_sanguinea;Cornsang;0;0;0,5;0,5;0,5;0,5;2;0,5;0,5;0,5;0,5;0,5;0,5;0;0;0,5
Corydalis_cava;Corycava;0;0;0,5;0;0,5;0,5;0,5;0,5;0;0;2;0,5;0;0;0;0
Crataegus_monogyna;Cratmono;0;0;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0;0,5;0;0,5
Dactylis_glomerata;Dactyglom;0;0;0;0;0;0;0;0;0,5;0;0;0;0;0;0;0
Daphne_mezereum;Daphmeze;0;0;0,5;0;0;0;0;0;0,5;0;0;0;0;0;0;0
Deschampsia_cespitosa;Desccesp;0;0,5;0,5;4;2;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0;0,5;0,5;0,5
Dipsacus_pilosus;Dipspilo;0;0;0;0;0;0;0;0;0,5;0;0;0;0;0;0;0
Dryopteris_carthusiana;Dryocart;0;0;0;0,5;0;0;0;0;0;0;0;0;0;0;0;0
Equisetum_arvense;Equiarve;0,5;0,5;0;0;0;0,5;0;0;0;0,5;0,5;0,5;0,5;0,5;0;0,5
Equisetum_hyemale;Equihyem;0;0;0;0;0;0,5;0,5;0;0;0;0;0;0,5;0;0,5;0
Eupatorium_cannabinum;Eupacann;8,75;8,75;4;0,5;0,5;0,5;0;0,5;2;4;0,5;0,5;0,5;2;4;8,75
Fagus_sylvatica;Fagusylv;0;0;0,5;0;0;0;0;0;0;0;0;0;0;0;0;0
Festuca_gigantea;Festgiga;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,5;0
Filipendula_ulmaria;Filiulma;2;0,5;2;0,5;0,5;2;0;0;0,5;0;0;0,5;0,5;0,5;0;2
Fraxinus_excelsior;Fraxexce;0,5;0,5;0,5;0,5;0,5;2;2;0,5;0,5;0,5;0;0,5;0;0;0;0,5
Galium_aparine;Galiapar;0;0;0;0;0;0;0;0;0;0,5;2;0;0;0;0;0
Galium_mollugo_agg;Galimoll;0;0,5;0,5;0;0;0,5;0,5;0,5;0,5;0,5;0;0,5;0,5;0;0;0,5
Geranium_phaeum;Geraphae;0;0;0;0;0;0;0;0,5;0;0;0;0;0;0;0;0
Geranium_robertianum;Gerarobe;0;0;0;0;0;0;0,5;0;0;0;0;0;0;0;0;0,5
Geum_urbanum;Geumurba;0;0;0;0;0;0,5;0;0;0;0;0;0,5;0;0;0;0
Glechoma_hederacea;Glechede;0;0;0;0;0;0,5;0,5;0;0;0,5;2;0;0,5;0;0;0,5
Gymnadenia_odoratissima;Gymnodor;0;0;0;0;0;0,5;0,5;0;0;0;0;0;0;0;0;0
Holcus_lanatus;Holclana;0;0;0,5;0,5;2;2;8,75;8,75;18,75;8,75;2;4;0;0;0;0
Holcus_mollis;Holcmoll;0;0;0;0;0;0;0;0;0,5;0;0;0;0;0;0;0
Humulus_lupulus;Humulupu;0;0;0;0;0;0;2;4;4;8,75;0;0;0;0;0;0
Hypericum_hirsutum;Hypehirs;0;0;0;0;0;0;0,5;0,5;0,5;0;0;0;0;0;0;0
Hypericum_montanum;Hypemont;0;0;0;0;0;0;0;0;0;0;0;0;0,5;0;0;0,5
Hypericum_tetrapterum;Hypetetr;0;0;0;0;0;0,5;0;0;0;0;0;0;0;0;0;0,5
Impatiens_glandulifera;Impaglan;0;0;0;0;0;0;0;0;0;0;0;0;0,5;0;0,5;0,5
Impatiens_noli-tangere;Impanoli;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,5
Knautia_dipsacifolia;Knaudips;0;0;0,5;2;0,5;0;0;0;0;0;0;0;0;0;0;0
Lamium_maculatum;Lamimacu;0;0;0;0;0;0;0;0;0;2;4;2;0;0;0,5;0
Lathyrus_pratensis;Lathprat;0;0,5;0;0;0;0,5;0,5;0;0;0,5;0;0;0,5;0;0;0
Leucanthemum_vulgare;Leucvulg;0;0;0;0;0;0;0;0;0;0,5;0;0;0;0;0;0
Ligustrum_vulgare;Liguvulg;0;0;0;0;0;0,5;0;2;0;0;0;0;0;0;0,5;0,5
Lonicera_xylosteum;Lonixylo;0,5;0,5;2;0;0;0,5;0,5;0;0;0;0,5;0,5;0,5;0;0;0,5
Lycopus_europaeus;Lycoeuro;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Lysimachia_vulgaris;Lysivulg;0;0;0;0,5;0;0;0,5;0;0;0;0;0;0;0;0;0
Melica_nutans;Melinuta;0;0;0;0;0,5;0,5;0;0;0,5;0,5;0;0;0;0;0;0
Mentha_aquatica;Mentaqua;0,5;0,5;0,5;0;0;0;0;0;0;0;0;0;0,5;0;0;0,5
Mentha_aquatica_x_spicata;Menthaaqxsp;0;0;0;0;0;0;0;0;0;0,5;0;0;0;0;0;0
Mercurialis_perennis;Mercpere;8,75;4;4;2;37,5;37,5;4;18,75;18,75;4;0;18,75;2;2;8,75;0,5
Molinia_arundinacea;Moliarun;0;0,5;0;0;0;0;0;0;0,5;0;0;0;0;0;0;0
Molinia_caerulea;Molicaer;0;0;0;0;0;0;0;0;0;0,5;0;0;0;0;0;0
Myosotis_scorpioides;Myosscor;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,5
Neottia_ovata;Listovat;0;0;0;0;0;0,5;0;0;0;0;0;0;0;0;0;0
Petasites_hybridus;Petahypr;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0,5
Phalaris_arundinacea;Phalarun;0,5;4;0,5;8,75;0,5;8,75;0,5;0;0,5;0,5;2;0;0,5;2;0;0
Phragmites_australis;Phraaust;0;2;0;0;0;0,5;0;0;0;0;0;0;0;0;0;0
Picea_abies;Piceabie;0;0;0,5;0,5;0;0,5;0,5;0;0,5;2;0;0;0,5;0;0;4
Pimpinella_major;Pimpmajo;0;0;0;0;0;0;0;0;0;0,5;0;0;0;0;0;0
Pleurospermum_austriacum;Pleuaust;0,5;0,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Poa_compressa;Poacomp;0;0;0;0;0;0;0,5;0;0;0;0;0;0;0;0;0
Poa_palustris;Poapalu;0;0;0;0;0;0;0;0;0;0;0,5;0;0,5;0;0;0
Potentilla_neumanniana;Poteneum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,5
Primula_elatior;Primelat;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,5
Prunella_vulgaris;Prunvulg;0;0;0;0;0;0;0;0;0;0,5;0;0;0;0;0;0
Prunus_padus;Prunpadu;0;0;0,5;0,5;0;0;0;0,5;0,5;0;0;0,5;0;0;0;0
Pulmonaria_officinalis;Pulmoffi;0;0,5;2;0;2;0,5;0;2;2;0;0,5;0;0;0;0,5;0
Quercus_robur;Querrobu;0;0;0;0;0;0;0,5;0,5;0,5;0,5;0;0;0;0;0;0
Ranunculus_repens;Ranurepe;0;0;0;0;0;0,5;0;0;0;0;0;0;0;0;0;0
Rosa_canina;Rosacani;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,5
Rubus_caesius;Rubucaes;8,75;8,75;8,75;4;4;37,5;18,75;18,75;37,5;37,5;62,5;18,75;37,5;37,5;87,5;18,75
Rubus_idaeus;Rubuidae;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
Salix_alba;Salialba;0;0;0;0;0;0;0;0;0;0,5;0;0;0;0;0;0
Salix_eleagnos;Salielea;0;0;0;0;0;0;0;0;0;0,5;0;0;0;0;0;0
Salvia_glutinosa;Salvglut;0;0;0;0;0;0;0;0;0;0;0;0;0,5;0;0;0
Scirpus_sylvaticus;Scirsylv;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
Scrophularia_nodosa;Scronodo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,5
Scutellaria_galericulata;Scutgale;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,5
Senecio_ovatus;Seneovat;0;0;0;0;0;0;0;0;0;0;0;0;0;0,5;0;0,5
Solidago_gigantea;Soligiga;0;0;0;0;0;0;0,5;2;0;2;8,75;2;87,5;37,5;0,5;18,75
Stachys_sylvatica;Stacsylv;0,5;0;0,5;0,5;2;2;0,5;2;0,5;4;2;0,5;2;2;8,75;0
Symphytum_officinale;Sympoffi;0;2;0;0;0;2;0;0;0;0;0;0,5;0;0;0;0
Thalictrum_aquilegiifolium;Thalaqui;0;0;0;0;0;0;0,5;0;0;0;0;0,5;0;0;0;0
Ulmus_glabra;Ulmuglab;0;0;0;0;0;0;0,5;0;0;0;0;0;0;0;0;0,5
Urtica_dioica;Urtidioi;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0,5
Valeriana_dioica;Valedioi;0,5;0;0;0;0;0;0;0;0;0,5;0;0,5;0;0;0;0,5
Valeriana_excelsa_subsp_excelsa;Valeexce;0;0,5;0,5;0,5;0;0;0,5;0;0,5;0;0;0;0;0;0;0,5
Valeriana_officinalis;Valeoffi;0;0;0;0;0;0;0;0;0;0;0;0;0,5;0;0;0
Viburnum_lantana;Vibulant;0;0;0;0,5;0;0;0;0;0,5;0,5;0;0,5;0;0,5;0;0
Vicia_cracca_sstr;Vicicracc;0,5;0;0;0;0;0;0;0;0;0;0;0;0,5;0,5;0;0
Vinca_minor;Vincmino;0;0;0;0;0,5;0;8,75;0,5;0;2;0;0;0;0;0;0
Viola_odorata;Violodor;0;0;0;0;0;0;0;0;0;0;0;0,5;0;0;0;0,5
Carex SU3;NA;0;0;0;0;0;0;0;0;0,5;0;0;0;0;0;0;0
