name,IN1,IN2,IN3,IN4,IN5,IN6,AC1,AC2,AC3,AC4,AC5,AC6
Pulmonaria_officinalis,0,0.5,2,0,2,0.5,0,2,2,0,0.5,0
Quercus_robur,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0,0
Ranunculus_repens,0,0,0,0,0,0.5,0,0,0,0,0,0
Rubus_caesius,8.75,8.75,8.75,4,4,37.5,18.75,18.75,37.5,37.5,62.5,18.75
Salix_alba,0,0,0,0,0,0,0,0,0,0.5,0,0
Salix_eleagnos,0,0,0,0,0,0,0,0,0,0.5,0,0
Solidago_gigantea,0,0,0,0,0,0,0.5,2,0,2,8.75,2
Stachys_sylvatica,0.5,0,0.5,0.5,2,2,0.5,2,0.5,4,2,0.5
Symphytum_officinale,0,2,0,0,0,2,0,0,0,0,0,0.5
Thalictrum_aquilegiifolium,0,0,0,0,0,0,0.5,0,0,0,0,0.5
Ulmus_glabra,0,0,0,0,0,0,0.5,0,0,0,0,0
Valeriana_dioica,0.5,0,0,0,0,0,0,0,0,0.5,0,0.5
Valeriana_excelsa_subsp_excelsa,0,0.5,0.5,0.5,0,0,0.5,0,0.5,0,0,0
Viburnum_lantana,0,0,0,0.5,0,0,0,0,0.5,0.5,0,0.5
Vicia_cracca_sstr,0.5,0,0,0,0,0,0,0,0,0,0,0
Vinca_minor,0,0,0,0,0.5,0,8.75,0.5,0,2,0,0
Viola_odorata,0,0,0,0,0,0,0,0,0,0,0,0.5
Carex SU3,0,0,0,0,0,0,0,0,0.5,0,0,0
