id;floodplain;lon;lat
IN1;inactive;10,9565394548935;47,7738129373103
IN2;inactive;10,9558739032596;47,7737349352619
IN3;inactive;10,9557030052418;47,7736074642505
IN4;inactive;10,9548968435411;47,7732223792406
IN5;inactive;10,9546240962554;47,7728511396264
IN6;inactive;10,9542529309584;47,7727308372496
AC1;active;10,9622541998232;47,7742694551968
AC2;active;10,9625359481182;47,7741910542822
AC3;active;10,9631218337142;47,7742503102311
AC4;active;10,9642317282600;47,7741254151734
AC5;active;10,9646571789262;47,7742012042761
AC6;active;10,9650689341861;47,7742948565141
